States,s [kJ/kgK],S [kJ/K],P [bar],T [K],v [m3/kg],V [m3],h [kJ]
1,0.0,0.00e+00,0.95,340.0,9.92e-01,3.30e-03,340.0
2,0.0,0.00e+00,50.16,1055.99,5.83e-02,1.94e-04,1055.99
3,0.86,2.86e-03,50.16,2494.24,1.38e-01,4.59e-04,2494.24
4,0.86,2.86e-03,3.16,1132.58,9.92e-01,3.30e-03,1132.58
