Process,Type,q [kJ/kg],Q [kJ],wt [kJ/kg],Wt [kJ],w [kJ/kg],W [kJ]
1--2,Isentropic,0.00e+00,0.00e+00,-7.16e+02,-2.38e+00,-5.11e+02,-1.70e+00
2--3,Isobaric,1.44e+03,4.79e+00,0.00e+00,0.00e+00,3.99e+02,1.33e+00
3--4,Isentropic,0.00e+00,0.00e+00,1.36e+03,4.53e+00,9.73e+02,3.24e+00
4--1,Isochoric,-5.66e+02,-1.88e+00,2.20e+00,7.31e-03,0.00e+00,0.00e+00
