process,type,q [kJ/kg],wt [kJ/kg],w [kJ/kg]
1--2,isentropic,0.0,-449.94930420990875,-321.3923601499348
2--3,isochoric,864.8215623174285,-3.355392352249981,0.0
3--4,isentropic,0.0,1168.6994914543086,834.7853510387919
4--1,isochoric,-351.4285714285715,1.3634960000000005,0.0
