states,s [kJ/kgK],p [bar],t [K],theta [ oC ],v [m3/kg],h [kJ/kg]
1,0.0,1.0,308.0,34.85000000000002,0.8535706666666667,308.0
2,0.0,23.378306461019914,757.9493042099087,484.79930420990877,0.08984954385964912,757.9493042099087
3,0.6817942462102521,60.72287392472706,1968.6994914543086,1695.5494914543087,0.08984954385964912,1968.6994914543086
4,0.6817942462102521,2.5974025974025983,800.0,526.85,0.8535706666666665,800.0
